continent,country_name,dataset_id,date,latitude,layer_id,layer_name,licence,longitude,lower_depth,method_options,organic_surface,positional_uncertainty,profile_code,profile_id,region,upper_depth,value,value_avg
Asia,Indonesia,WD-ISIS,1988-12-1,1.433333333333333,3159,3C2,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",101.18055555555556,150,"{""acidity approximation = [ not applied ] bases approximation = [ not applied ] exchange solution = [ 1 M Na-acetate ] index cation = [ Na+ ] other exchangeable cations = [ not applied ] replacement = [ NH4-acetate ] reported pH = [ buffered at 7.0 ] sample pretreatment = [ sieved over 2 mm sieve ] technique = [ determination by lab procedure ]""}",False,Over 10 km,ID038,1115748,South-Eastern Asia,130,{1.0},1.0
Asia,Indonesia,WD-ISIS,1987-11-1,2.566666666666666,4506,3Bg?,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",98.61666666666666,108,"{""acidity approximation = [ not applied ] bases approximation = [ not applied ] exchange solution = [ 1 M Na-acetate ] index cation = [ Na+ ] other exchangeable cations = [ not applied ] replacement = [ NH4-acetate ] reported pH = [ buffered at 7.0 ] sample pretreatment = [ sieved over 2 mm sieve ] technique = [ determination by lab procedure ]""}",False,Over 10 km,ID029,1115941,South-Eastern Asia,90,{4.2},4.2
Asia,Indonesia,WD-WISE,1981-7-1,-4.75,42493,B3,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",104.98333333333333,250,"{""acidity approximation = [ not applied ] bases approximation = [ not applied ] exchange solution = [ 1 M NH4-acetate ] index cation = [ NH4+ ] other exchangeable cations = [ not applied ] replacement = [ KCl ] reported pH = [ buffered at 7.0 ] sample pretreatment = [ sieved over 2 mm sieve ] technique = [ determination by lab procedure ]""}",False,Over 10 km,ID0016,1124576,South-Eastern Asia,130,{6.1},6.1
Asia,Indonesia,WD-WISE,1987-6-1,-7.866666666666667,43786,Bw,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",112.46666666666667,77,"{""acidity approximation = [ not applied ] bases approximation = [ not applied ] exchange solution = [ 1 M NH4-acetate ] index cation = [ NH4+ ] other exchangeable cations = [ not applied ] replacement = [ KCl ] reported pH = [ buffered at 7.0 ] sample pretreatment = [ sieved over 2 mm sieve ] technique = [ determination by lab procedure ]""}",False,Over 10 km,ID0054,1124794,South-Eastern Asia,45,{24.9},24.9
Asia,Indonesia,WD-WISE,1989-2-1,-3.633333333333333,43749,Ah1,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",128.2,9,"{""acidity approximation = [ not applied ] bases approximation = [ not applied ] exchange solution = [ 1 M NH4-acetate ] index cation = [ NH4+ ] other exchangeable cations = [ not applied ] replacement = [ KCl ] reported pH = [ buffered at 7.0 ] sample pretreatment = [ sieved over 2 mm sieve ] technique = [ determination by lab procedure ]""}",False,Over 10 km,ID0098,1124788,South-Eastern Asia,0,{22.0},22.0
Asia,Indonesia,WD-WISE,1987-11-1,-0.45,42277,Auger,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",100.45,280,"{""acidity approximation = [ not applied ] bases approximation = [ not applied ] exchange solution = [ 1 M NH4-acetate ] index cation = [ NH4+ ] other exchangeable cations = [ not applied ] replacement = [ KCl ] reported pH = [ buffered at 7.0 ] sample pretreatment = [ sieved over 2 mm sieve ] technique = [ determination by lab procedure ]""}",False,Over 10 km,ID0069,1124542,South-Eastern Asia,160,{20.2},20.2
Asia,Indonesia,WD-ISIS,1987-6-1,-6.583333333333333,4293,Bw4,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",106.81666666666666,170,"{""acidity approximation = [ not applied ] bases approximation = [ not applied ] exchange solution = [ 1 M Na-acetate ] index cation = [ Na+ ] other exchangeable cations = [ not applied ] replacement = [ NH4-acetate ] reported pH = [ buffered at 7.0 ] sample pretreatment = [ sieved over 2 mm sieve ] technique = [ determination by lab procedure ]""}",False,Over 10 km,ID004,1115912,South-Eastern Asia,120,{12.8},12.8
Asia,Indonesia,WD-WISE,1987-11-1,-0.4,43376,2B,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",100.43333333333334,100,"{""acidity approximation = [ not applied ] bases approximation = [ not applied ] exchange solution = [ 1 M NH4-acetate ] index cation = [ NH4+ ] other exchangeable cations = [ not applied ] replacement = [ KCl ] reported pH = [ buffered at 7.0 ] sample pretreatment = [ sieved over 2 mm sieve ] technique = [ determination by lab procedure ]""}",False,Over 10 km,ID0050,1124726,South-Eastern Asia,44,{12.2},12.2
Asia,Indonesia,WD-WISE,1983-7-1,4.883333333333333,43736,2Bw2,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",96.73333333333333,110,"{""acidity approximation = [ not applied ] bases approximation = [ not applied ] exchange solution = [ 1 M NH4-acetate ] index cation = [ NH4+ ] other exchangeable cations = [ not applied ] replacement = [ KCl ] reported pH = [ buffered at 7.0 ] sample pretreatment = [ sieved over 2 mm sieve ] technique = [ determination by lab procedure ]""}",False,Over 10 km,ID0039,1124785,South-Eastern Asia,85,{5.3},5.3
Asia,Indonesia,WD-WISE,1980-5-1,3.866666666666667,43036,,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",97.55,65,"{""acidity approximation = [ not applied ] bases approximation = [ not applied ] exchange solution = [ 1 M NH4-acetate ] index cation = [ NH4+ ] other exchangeable cations = [ not applied ] replacement = [ KCl ] reported pH = [ buffered at 7.0 ] sample pretreatment = [ sieved over 2 mm sieve ] technique = [ determination by lab procedure ]""}",False,Over 10 km,ID0005,1124672,South-Eastern Asia,50,{29.3},29.3
Asia,Indonesia,WD-WISE,1985-9-3,-1.8444444,28821,Bo4,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",101.4777756,127,"{""acidity approximation = [ not applied ] bases approximation = [ not applied ] exchange solution = [ 1 M NH4-acetate ] index cation = [ NH4+ ] other exchangeable cations = [ not applied ] replacement = [ KCl ] reported pH = [ buffered at 7.0 ] sample pretreatment = [ sieved over 2 mm sieve ] technique = [ determination by lab procedure ]""}",False,1 km - 10 km,ID0042,1121937,South-Eastern Asia,100,{10.0},10.0
